"country","density","agricultural_land_percent","land_area_km2","birth_rate","capital","co2_emissions","cpi","cpi_change_percent","fertility_rate","forested_area_percent","gdp","gross_primary_education_enrollment_percent","gross_tertiary_education_enrollment_percent","infant_mortality","life_expectancy","maternal_mortality_ratio","official_language","health_expenditure_oop","physicians_per_thousand","population","labor_force_percent","urban_population","latitude","longtitude","region"
"Afghanistan",60,58.1,652230,32.49,"Kabul",8672,149.9,2.3,4.47,2.1,19101353833,104,9.7,47.9,64.5,638,"Pashto",78.4,0.28,38041754,48.9,9797273,33.93911,67.709953,"South Asia"
"Albania",105,43.1,28748,11.78,"Tirana",4536,119.05,1.4,1.62,28.1,15278077447,107,55,7.8,78.5,15,"Albanian",56.9,1.2,2854191,55.7,1747593,41.153332,20.168331,"Europe & Central Asia"
"Algeria",18,17.4,2381741,24.28,"Algiers",150006,151.36,2,3.02,0.8,1.7e+11,109.9,51.4,20.1,76.7,112,"Arabic",28.1,1.72,43053054,41.2,31510100,28.033886,1.659626,"Middle East & North Africa"
"Angola",26,47.5,1246700,40.73,"Luanda",34693,261.73,17.1,5.52,46.3,94635415870,113.5,9.3,51.6,60.8,241,"Portuguese",33.4,0.21,31825295,77.5,21061025,-11.202692,17.873887,"Sub-Saharan Africa"
"Argentina",17,54.3,2780400,17.02,"Buenos Aires",201348,232.75,53.5,2.26,9.8,4.5e+11,109.7,90,8.8,76.5,39,"Spanish",17.6,3.96,44938712,61.3,41339571,-38.416097,-63.616672,"Latin America & Caribbean"
"Armenia",104,58.9,29743,13.99,"Yerevan",5156,129.18,1.4,1.76,11.7,13672802158,92.7,54.6,11,74.9,26,"Armenian",81.6,4.4,2957731,55.6,1869848,40.069099,45.038189,"Europe & Central Asia"
"Australia",3,48.2,7741220,12.6,"Canberra",375908,119.8,1.6,1.74,16.3,1.39e+12,100.3,113.1,3.1,82.7,6,"None",19.6,3.68,25766605,65.5,21844756,-25.274398,133.775136,"East Asia & Pacific"
"Austria",109,32.4,83871,9.7,"Vienna",61448,118.06,1.5,1.47,46.9,4.46e+11,103.1,85.1,2.9,81.6,5,"German",17.9,5.17,8877067,60.7,5194416,47.516231,14.550072,"Europe & Central Asia"
"Azerbaijan",123,57.7,86600,14,"Baku",37620,156.32,2.6,1.73,14.1,3.9207e+10,99.7,27.7,19.2,72.9,26,"Azerbaijani language",78.6,3.45,10023318,66.5,5616165,40.143105,47.576927,"Europe & Central Asia"
"The Bahamas",39,1.4,13880,13.97,"Nassau, Bahamas",1786,116.22,2.5,1.75,51.4,1.2827e+10,81.4,15.1,8.3,73.8,70,"English",27.8,1.94,389482,74.6,323784,25.03428,-77.39628,"Latin America & Caribbean"
"Bahrain",2239,11.1,765,13.99,"Manama",31694,117.59,2.1,1.99,0.8,38574069149,99.4,50.5,6.1,77.2,14,"Arabic",25.1,0.93,1501635,73.4,1467109,26.0667,50.5577,"Middle East & North Africa"
"Bangladesh",1265,70.6,148460,18.18,"Dhaka",84246,179.68,5.6,2.04,11,3.03e+11,116.5,20.6,25.1,72.3,173,"Bengali",71.8,0.58,167310838,59,60987417,23.684994,90.356331,"South Asia"
"Barbados",668,23.3,430,10.65,"Bridgetown",1276,134.09,4.1,1.62,14.7,5.209e+09,99.4,65.4,11.3,79.1,27,"English",45.2,2.48,287025,65.2,89431,13.193887,-59.543198,"Latin America & Caribbean"
"Belgium",383,44.6,30528,10.3,"City of Brussels",96889,117.11,1.4,1.62,22.6,5.3e+11,103.9,79.7,2.9,81.6,5,"French",17.6,3.07,11484055,53.6,11259082,50.503887,4.469936,"Europe & Central Asia"
"Belize",17,7,22966,20.79,"Belmopan",568,105.68,-0.9,2.31,59.7,1879613600,111.7,24.7,11.2,74.5,36,"English",22.7,1.12,390353,65.1,179039,17.189877,-88.49765,"Latin America & Caribbean"
"Benin",108,33.3,112622,36.22,"Porto-Novo",6476,110.71,-0.9,4.84,37.8,14390709095,122,12.3,60.5,61.5,397,"French",40.5,0.08,11801151,70.9,5648149,9.30769,2.315834,"Sub-Saharan Africa"
"Bhutan",20,13.6,38394,17.26,"Thimphu",1261,167.18,2.7,1.98,72.5,2446674101,100.1,15.6,24.8,71.5,183,"Dzongkha",19.8,0.42,727145,66.7,317538,27.514162,90.433601,"South Asia"
"Botswana",4,45.6,581730,24.82,"Gaborone",6340,149.75,2.8,2.87,18.9,18340510789,103.2,24.9,30,69.3,144,"English",5.3,0.37,2346179,70.8,1616550,-22.328474,24.684866,"Sub-Saharan Africa"
"Brazil",25,33.9,8515770,13.92,"Bras���",462299,167.4,3.7,1.73,58.9,1.84e+12,115.4,51.3,12.8,75.7,60,"Portuguese",28.3,2.15,212559417,63.9,183241641,-14.235004,-51.92528,"Latin America & Caribbean"
"Brunei",83,2.7,5765,14.9,"Bandar Seri Begawan",7664,99.03,-0.4,1.85,72.1,13469422941,103.2,31.4,9.8,75.7,31,"Malay",6,1.61,433285,64.7,337711,4.535277,114.727669,"East Asia & Pacific"
"Bulgaria",64,46.3,110879,8.9,"Sofia",41708,114.42,3.1,1.56,35.4,8.6e+10,89.3,71,5.9,74.9,10,"Bulgarian",47.7,4.03,6975761,55.4,5256027,42.733883,25.48583,"Europe & Central Asia"
"Burkina Faso",76,44.2,274200,37.93,"Ouagadougou",3418,106.58,-3.2,5.19,19.3,15745810235,96.1,6.5,49,61.2,320,"French",36.1,0.08,20321378,66.4,6092349,12.238333,-1.561593,"Sub-Saharan Africa"
"Burundi",463,79.2,27830,39.01,"Bujumbura",495,182.11,-0.7,5.41,10.9,3012334882,121.4,6.1,41,61.2,548,"Kirundi",19.1,0.1,11530580,79.2,1541177,-3.373056,29.918886,"Sub-Saharan Africa"
"Ivory Coast",83,64.8,322463,35.74,"Yamoussoukro",9674,111.61,-0.9,4.65,32.7,58792205642,99.8,9.3,59.4,57.4,617,"French",36,0.23,25716544,57,13176900,7.539989,-5.54708,"Sub-Saharan Africa"
"Cape Verde",138,19.6,4033,19.49,"Praia",543,110.5,1.1,2.27,22.5,1981845741,104,23.6,16.7,72.8,58,"Portuguese",23.2,0.77,483628,60.5,364029,16.5388,-23.0418,"Sub-Saharan Africa"
"Cambodia",95,30.9,181035,22.46,"Phnom Penh",9919,127.63,2.5,2.5,52.9,27089389787,107.4,13.7,24,69.6,160,"Khmer language",59.4,0.17,16486542,82.3,3924621,12.565679,104.990963,"East Asia & Pacific"
"Cameroon",56,20.6,475440,35.39,"Yaound�",8291,118.65,2.5,4.57,39.3,38760467033,103.4,12.8,50.6,58.9,529,"French",69.7,0.09,25876380,76.1,14741256,7.369722,12.354722,"Sub-Saharan Africa"
"Canada",4,6.9,9984670,10.1,"Ottawa",544894,116.76,1.9,1.5,38.2,1.74e+12,100.9,68.9,4.3,81.9,10,"French",14.6,2.61,36991981,65.1,30628482,56.130366,-106.346771,"North America"
"Central African Republic",8,8.2,622984,35.35,"Bangui",297,186.86,37.1,4.72,35.6,2220307369,102,3,84.5,52.8,829,"French",39.6,0.06,4745185,72,1982064,6.611111,20.939444,"Sub-Saharan Africa"
"Chad",13,39.7,1284000,42.17,"N'Djamena",1016,117.7,-1,5.75,3.8,11314951343,86.8,3.3,71.4,54,1140,"French",56.4,0.04,15946876,70.7,3712273,15.454166,18.732207,"Sub-Saharan Africa"
"Chile",26,21.2,756096,12.43,"Santiago",85822,131.91,2.6,1.65,24.3,2.82e+11,101.4,88.5,6.2,80,13,"Spanish",32.2,2.59,18952038,62.6,16610135,-35.675147,-71.542969,"Latin America & Caribbean"
"China",153,56.2,9596960,10.9,"Beijing",9893038,125.08,2.9,1.69,22.4,1.99e+13,100.2,50.6,7.4,77,29,"Standard Chinese",32.4,1.98,1397715000,68,842933962,35.86166,104.195397,"East Asia & Pacific"
"Colombia",46,40.3,1138910,14.88,"Bogot�",97814,140.95,3.5,1.81,52.7,3.24e+11,114.5,55.3,12.2,77.1,83,"Spanish",18.3,2.18,50339443,68.8,40827302,4.570868,-74.297333,"Latin America & Caribbean"
